日期,最高气温,最低气温,天气,风向,风力
2019-04-01,18,14,阴,东北风,2级
2019-04-02,20,16,多云,东南风,3级
2019-04-03,20,16,多云,东北风,4级
2019-04-04,22,17,阴,东南风,2级
2019-04-05,26,18,多云,东南风,3级
2019-04-06,24,19,多云,南风,2级
2019-04-07,29,20,阴,东北风,2级
2019-04-08,28,21,多云,西南风,2级
2019-04-09,28,21,阴,西南风,2级
2019-04-10,32,17,多云,东南风,4级
2019-04-11,18,16,阴,东南风,3级
2019-04-12,19,15,阴,东北风,3级
2019-04-13,18,17,阴,东南风,1级
2019-04-14,22,17,阴,东南风,4级
2019-04-15,22,16,多云,东北风,3级
2019-04-16,18,16,阴,东南风,2级
2019-04-17,25,17,阴,东南风,2级
2019-04-18,26,19,阴,东南风,2级
2019-04-19,21,20,阴,东南风,3级
2019-04-20,23,21,阴,东北风,2级
2019-04-21,27,22,雾,西南风,2级
2019-04-22,28,22,阴,西北风,3级
2019-04-23,29,22,多云,西南风,2级
2019-04-24,31,23,晴,西南风,2级
2019-04-25,33,22,多云,西南风,2级
2019-04-26,28,19,阴,东南风,4级
2019-04-27,23,19,阴,东北风,2级
2019-04-28,27,22,多云,东南风,2级
2019-04-29,30,22,多云,东南风,2级
2019-04-30,31,20,阴,西南风,2级